1,2,3,"Came in here only because I had a business call to take and needed some quiet space. Since the little one was with me, I went on ahead and ordered a kid's meal which consisted of a personal pan pizza and a drink. The cashier was nice. The place was clean. Ample seating downstairs and for the location being in Midtown it wasn't too crowded. Now I can imagine why lol.The pizza...well, I grew up eating Pizza Hut and was pretty disappointed. I thought it was pretty funny that I was longing for the 2 Bros dollar pizza in Chelsea. Eating this Pizza Hut pizza just made me hungrier. How is that even possible lol?!"
29,2,3,"My experience with ordering online for delivery using the Pizza Hut website has not been satisfactory because no coupon code is ever accepted for any of my orders, no matter which coupon code used, except for the chocolate cookie $1 off coupon, that's the only coupon ever accepted.My experience from the Pizza Hut Rego Park restaurant before today's order has been satisfactory. My previous order for stuffed crust pizza with toppings, the pizzas tasted good or fine. Same with my experience when I have ordered from other Pizza Hut locations.My experience from the Pizza Hut Rego Park restaurant for today's order is very unsatisfactory. The 2 pizzas I ordered and received taste bad, the crust is soggy and slightly over-cooked, there's very little cheese, the pork sausage and pepperoni smell bad and taste gamy, as if the ingredients used are old, and the meats used are tainted or becoming rancid. The taste and smell is so bad it made me vomit. I'm never ordering from the Rego Park location again, and maybe won't be ordering from any Pizza Hut ever again. I recommend avoiding this location.I sent an email through the Pizza Hut website, pretty much saying the same things I put on this review, to let them know about my experience and dissatisfaction with today's order."
31,2,2,"As a big fan of Pizza hut it stinks that I have to write this review. This pizza hut might be the worst in the country!!!! First the inside of this restaurant.. and calling it a restaurant is quite a stretch. There is like 5 tables and they are filthy. I do not feel like it asking a lot to just wipe down a table once and a while. Second the delivery zone is miniscule. I live 2 miles from this place and they refuse to deliver, but the dominos next door does. Third the douches that answer the phone have no idea what customer service is. The conversation went like this: "" Can I have extra blue cheese with my wings"" and he responds "" nah"". I said ""I do not mind paying extra"" he responds I said no right , you want the damn pizza or not?"".  "" Uh I ordered wings dude"", he hangs up on me, but not before he makes some racist comments. Fourth the pizza is miserable. Its very simple the damn instructions of pizza making is right in front of you, however these geniuses find a way to destroy everything Pizza hut stands for. The pizza terrible, barely any sauce, there barely is any cheese. T he crust is dripping with some kind of ""pam -like spray"", it truly is disgusting. This place sucks!!! Please owners if you read this bring the citizens of forest hills a decent pizza hut... not even a good one, but this travesty will not do."
32,2,1,I had pizza from here years ago and it was not bad. However I live in Rego Park and they don't deliver to my neighborhood. What gives? The Dominos down the block from this Pizza Hut delivers to me. Hopefully I'll get an answer from someone at Pizza Hut.
33,2,2,Ick. Makes me sick.... literally.  Why get nasty franchise pizza when NYC has REAL pizza all over the place???
34,2,3,pizza did not taste great and the doe was not the original i was use to. i think its just rego that does make it the great.
35,3,3,"I have a love hate thing for this type of pizza. Sometimes you don't want real pizza and you want this type of whatever this might be. I'm not knocking it by any means but compared to a real slice of pizza this is just, well, Ehhh. Their wings are ok but over priced IMO. Service here is what you would expect from these chain pizza places."
36,2,3,"Ehhh I usually order for delivery, but for some reason it always takes them more than an hr to deliver a pizza and some wings and by the time it gets to me its already cold. I rather go to a supermarket and by a frozen pizza and throw it into my oven, i think it would cook faster by the time they get here. Atleast ill know my pizza won't be cold."
37,2,2,"worst store in the world ever!!!!bad service, even the worst manager in the world ever!don't order it because it's going to waste your time and money!!"
38,2,2,Absolutely horrible pizza. It took over an hour and a half to receive two medium pies and they tasted like cardboard. Ellios tastes better. I will never order from here again.
39,2,2,Tried pizza hut twice at this place and I must say this is the worst pizza  I have tasted.  ICK
40,3,1,"this pizza hut is actually a pizza hut express. it's a barebones restaurant, with 3 or 4 small round tables for customers to sit at. it's conveniently located at 63rd drive and queens blvd. i mean what can you say about pizza hut pizza? i like bringing it home to put into the freezer and reheating the slices at a later time to have. granted i can probably have better (this is new york we're talking about), but i still like it. the pizzas have gotten a bit more expensive lately, but i'll still go there every so often."
41,3,2,"Don't bother. Ordered an hour and half ago, called twice, and found out the driver tried to deliver to the ""wrong house"" but they didn't give me a call to ask where I was. They asked if I wanted them to send the pizza out again and I told them no thanks because it's been an hour and half in 98 degree weather so it's definitely no good.Update: Irvin the GM called me back immediately to rectify the situation and sent me a fresh order free of charge. I definitely appreciate the gesture but would've been nice if they got it right the first time."
42,2,2,Would give a zero star ....Elizabeth is the worst ...unprofessional and on personal calls ...didn't get my order on the apps ...when I show her the confirmation email ...she put a face to talk on her phone I would never go back there again
43,2,3,"Did they photoshop my pizza? My pizza just look like the online illustration. Props for making it artifically visual appealing. That was the only thing that i was impressed with. As usual, everybody who ate pizza hut knows this that it goes down hill from here.pizza hut was the only pizza shop near the area. Flushing needs new pizza shops. Any recommendations?I ordered the meatball/ spinach and sausage/pepper pizzas. I was disappointed by the sausage/pepper as the toppings werent as noticeable. meatball and spinach were decent and workable toppings in the future. Now to the cheese and sause, both were lacking any substance. Waiting for the day when a company can deliever high quality pizza."
44,2,2,"I was really disappointed with my experience here last night.My brother and I were picking up food for my family on the way home and we decided to get pizza. Since we were thinking about what to get on the way, we didn't order ahead. We parked in front of the Pizza Hut at 8:00 and placed our order. We hung out in the car for about half an hour since it was supposedly going to take about 20-30 minutes to prepare our order (two medium two-topping pizzas and one large two-topping pizza). Plus, we had prime parking there so we weren't going to leave that spot open!So we went into the restaurant at 8:30ish and we asked about our order. The girl we spoke to said that it wasn't ready and that it would be ready in ""five to seven minutes"" (that's exactly what she said). Fine. We sat down and waited... and waited... and waited. I guess we must have been immersed in our phones or something because it was 9:11 and so we went to the counter again and asked another lady who may have been the previous girl's boss or manager or something (she was explaining how to do something to the first girl for the customer before us). We were getting really hungry and annoyed so I told her we've been waiting almost an hour for our food. That's when she went to the delivery pouches and pulled out our pizzas and said ""They JUST came out."" That's all she said. Not an apology for the pizza taking so long or the fact that the pizzas were just sitting in the delivery pouch - it was one of those two things, and she didn't acknowledge it. All she said to us was ""They JUST came out.""I get that the place was probably busy with incoming orders on a Sunday night (quite possibly a lot of people getting food for watching football) but don't have one girl tell me that it will be ""five to seven minutes"" and then make us wait *40 MINUTES* for the order, and then have the nerve to say ""They JUST came out."" Totally unprofessional and it really made me not want to come back here, which is a shame since I love Pizza Hut and I usually like this location."
45,2,2,"Terrible takeout experience. Came here to take advantage of the $5 promotion but the staff was very dishonest. Ordered two one-topping pan pizzas, light on the sauce. Hardly any foot traffic but they took nearly 30 minutes to complete my order. One employee was too preoccupied with her phone to attend to any of the customers. When the pizzas were finally done I was quick to check that they got my order right. Guess what? No!Instead of pan pizza they gave me hand-tossed. I'm not a fan of hand tossed. When I told the person at the counter she responded that the promotion only was for hand tossed. How come you didn't mention that when I placed my order?A few days later, out of curiosity, I checked out the Pizza Hut website. And behold, customer got to choose whether they wanted pan or hand tossed and the price was the same. I would have had no problem if the staff was simply upfront about their mistake. But I don't like being fed lies."
46,1,3,"Oops I checked into the wrong address because the other one showed up first. This location has only 3 tables and some people like to take over the space and not caring that they do. Even though my bus passed through here like a millionth times, I finally went in today and I spotted those adorable personal pan pizza. I ordered a Specialty ($5.99 + tax) of Meat Lover because I am a super carnivore. The crust is crunchy and the pizza is thick and each bite made me oh wow, oh wow ""mama love meat""!"
47,2,2,"My worst pizza experience in my life!!Stay away from their shitty hidden fees.I saw an ad where it said large pizza for $17.99 , but when I order 1 large pizza with 2 liter Pepsi I was charged $28.** 1)$1 extra hidden charge for ordering in menu2) $4 delivery charge that is outside of deliever tip3)tax4)they promise 45 minutes but took 1hour and 45 minutes to come (I ordered at 6pm, came at 7:45pm)5)deliver brought me 16oz bottle instead of 2 liter I order, also the recipe was changed from $28 something to $27 something. 6)delivery girl didnt even gave me the change,or even ask  she just kept it for her tip wtf was that?7)last but most importortantly the pizza was shit. Cheese was super extra thin while the bread was super thick. 1 to 7 ratio. Stay away.. I will never ever order again from pizza hut overall. Order at papa johns or just regular italian style pizzaria"
48,2,2,"Do not order from this place! They will charge you for all the extras and not add them! Then they tell you that you have to drive back to them and bring them the crust for a 9$ refund even though they charged you 13$ for the pie! By manager Sarah's admission it is Pizza Hut policy that if they screw up your order then the customer has to come in and basically pay for the mistake because she has no proof of the things that are being said! Well Sarah here is the proof of crust without the fiery red pepper crust and burnt jalapeños! This is 2015 and I do not need to drive 20 mins there and then back just because your rude self can't admit a mistake! I would give them a glowering middle finger if that was an option on Yelp! Yelpers unite to teach these crude and rude people a lesson, do not get your pie fix from these trolls!"
49,2,2,"Going on 2 hours waiting for my food. Delivery driver had a flat on the way to us, didn't notify the store to let us know the delivery will be late. Lets see how long it takes.Update:Cancelled my order and asked for a refund, can't get refunded until tomorrow and I have to call back for it. Never again. This isn't the first time this happened either and I still decided to order."
50,1,1,"Wow! Best way to describe my visit there. Came with my girlfriend to dine in and was met with exceptional service and care by one of their employees. I didn't catch her name but she was fantastic. Did everything from taking our order to make sure we had plates, napkins and utensils. Probably one of the best service ever received and we've been too many restaurants. They could all learn from this young lady. We even tipped her at the end after we finished our meal. Pizza and pasta were fresh and tasted so good! The pizza had the perfect combination of soft and crispy. Pasta was so delicious. My girlfriend loved it! Definitely be back to this location!"
51,2,2,I don't want to even give this place 1 star.My order was placed at 7:44 and  i received it at 9:15 when i ordered from the website it said i would receive it by 8:45. I know that online ordering is not always accurate but my entire order was cold and the pizza was hard.When i called to speak to the manger or the person in charge she was non apologetic and very rude i asked her to refund me my money or send a new order back to me she was very  nasty and was not trying to help me in any way.  she told me it was not her fault or problem that the pizza was cold and if she sent another order the same thing was going to happen. i am very upset and i will never order from pizza hut again.I can not believe such a notorious company has so bad employees what happened to the customer is always right.
52,2,3,"When I order from this pizza hut, I usually expect the usual long delivery times and a lukewarm pizza. This is fine, as i always tend to just reheat it up. I always let this issues slide because at least this location is consistent with this. However, this was the last straw. Pizza came to my house like it was dropped on the floor and shoved back into the box. See the pics."
53,2,2,"absolute garbage service.ordered 2 hrs ahead on nye for a delivery by 8:30pm.I never got the order.  Tried calling the store multiple times and just got a busy tone.  Now i understand that they were probably busy (it being nye and all) but a courtesy call saying that they wont be able to fulfill the order would've been nice.  My party and I starved that night.  Finally got a call from a gentleman at 11pm asking if I would like the order or to cancel.  I specifically told the gentleman politely that i would like to cancel the order.  2 days later and i see that i still got charged for the order.  I called the branch and an obnoxious lady picked up and tried to prove me wrong about my order.  i don't know why.... all she had to do was give me a refund.  She asked if i would like the order now... 2 days later... NO I DO NOT WANT THE ORDER NOW.  She put me on hold, came back and asked me to recall the exact order that i placed and the exact amount that i was charged.  once again... I don't know why she required me to give her all that information when she clearly said that she had my account on file and pulled up in front of her.  Once i gave her the useless information she was asking for,  she told me that i was incorrect and that that wasn't the order i place.  Does that even matter?  I got charged for a delivery that was never made! Just give me my refund.  once again she put me on hold and came back and said ""do you want store credit?"". NO... I WANT A REFUND...  There was absolutely no reason for her to give me such as hard time.  a mistake was clearly made from their end and all they had to do was apologize and give me a refund.  I never got an apology from any of the pizza hut employees i had to deal with.  Completely unprofessional.  I am disputing the charge with my credit card company directly.  DO NOT ORDER FROM THIS PLACE.  I don't blame the gentleman that called me at 11pm that night.  He clearly seemed overwhelmed.  I must ask why they don't have a better system set up for busy days like NYE.either limit the orders or call the customer directly and let em know not to expect any food by the time they wanted it!  thank god i had enough liquor to drown my rage and ring in the new year with my party."
22,2,2,"My husband has been craving for pizza hut and today we decided to drop by and order to-go. We've been in the line for 5 minutes or so waiting for the employee of the At&t to be finished ordering his food (with discount since he works next door). Finally it's our turn to order when suddenly the pizza hut employee told us to go to the other cashier and there are 4 people waiting there. We decided to left instead of waiting for what, another 15 mins? He could've told us earlier that we need to go to the other cashier since he saw us waiting for him. He's even the manager of the store, SMH. They need to improve how they communicate with costumers."
55,2,2,"This has to be the worst pizza hut ever. Every single time we order , it takes close to two hours and the pizza is ice cold."
56,2,2,"I ordered my meal and was given an ETA of 7:30PM. After 10 follow up phone calls and 2 hours later, this place informed me that my order was cancelled. If I never called to follow up, they would've wasted more of my time and would have never informed me of my cancelled order. Worst customer service for mediocre pizza. Avoid this place and save your time."
57,2,3,"Food is typical average fast pizza hut quality, yet not super fast. Tables inside were all in need of a wiping down."
58,2,2,"Late delivery. Internet order show 7:59PM as the expected time, arrived 8:25 PM. all the food is coldAND Surprised to found the chicken wing we ordered is RED RARE or I should say. its a Fresh meat from freezer. my wife took a bite and almost threw up! I called a restaurant spoke to a female worker, she made it sounds like this is a common thing took me while to go through everything with her told her all the detail, she asked me to hold. a male manager answered. asked me whats s the problem  is, I told him I dont want to repeat myself, he said she told him I wanted to speak to a manager, which is a lie. then this ""manager"" said its not his problem all the food is cold delivery is late. and when I was telling him about the chicken being red, he said I'll give you money back you keep the food! yelled at me and hung up.no apology , no nothing. just a simple nasty attitude I got from him.. I just took all the pics of chicken. I will make sure people know about this.BE AWARE BEFORE ORDER FROM THIS HELL HOLE! or STAY AWAY!I already had many disappointed food from them but I kept ordered because my kids like cheese sticks. but NO MORE. THIS LOCATION IS WORSE!"
59,2,2,TRASH and after talking to the manager I know why. The food was super late and cold and after I get the call I can see the pizza boy running down the street with my soda in hand. After checking the food I requested my money back that's the last time i order from these bums LETS GO DOMINO'S there right next door came to the rescue in 38 min man I forgot how good that phillie cheese steak taste. F OFF PIZZA HUT You just lost a customer.
60,2,2,"Possibly thee worst customer service experience I've ever had, placed an order at 630 and still hadn't gotten a delivery and it was 830 .. called the store to see what was going on and was told to give them about ten mins waited another 30 mins and nothing .. at this point I am beyond disappointed and aggravated because it shouldn't take 3 hours for a delivery I called the store told them to cancel my order because my credit card had been charged already and they keep putting me on hold or hanging up it wasn't until the 3rd time I called that they cancelled the order and told me it take 5-7 business days for the money to be back on the account .. not only was I put on hold a bunch of times but I could hear employees talking bad while thinking I was on hold .. also when I asked to speak to a manager I was told there wasnt a manger on the clock and no one would give me their names .. I order from this Pizza Hut all the time but this is the last time I ever give this business any of my money"
61,1,1,I grew up on PizzaHut. Who doesn't think PH has great pizza?
62,1,3,"I ordered online for carryout since this pizza hut doesn't deliver to my part of town. I ordered a large pizza with three toppings, breadsticks, and a 2 liter of soda and it was the 15 dollars deal of the day. When I ordered online it said it will be ready in 15mins so by the time I drove out to ph it was ready. I was surprised how on time this pizza hut was with my order. They got my order right and the pizza was delicious of course. Oh and ph breadsticks with the sauce is just as amazing. This isn't the first time I ordered pizza from this pizza hut but so far it has been a good experience. If only they deliver to my part of town then it would be awesome."
63,2,2,This place has the worst customer service... you cant expect much from this location bc it's always busy but it doesn't make sense that 1 pie is here after an hr and 15 min... !!!!! The nerve of the delivery guy asking me to come out across the st too. It's a freaking 2 min car ride!
64,1,1,"Food tastes and services is really good. I got my food faster then I though. All employees are good, and nice. Love u all."
65,3,3,"let me just start by saying i secretly love pizza hut. it's one of these extended-family childhood traditions because when we all got together, grammama ONLY liked pizza hut and their pan crispy crust. so when the fams got together once a month, we all laid out in this dramatic long table and chowed down. so yes, my childhood memory-brain worships pizza hut.fast foward to adulthood. ordered some mediums and it was ALL dough, NO cheese, SCANTY toppings. absolutely pathetic :( the breadsticks were stale and i have to pay for my extra marinara (i eat the crust like breadsticks and dip, try it, you'll thank me).that said, delivery was superquick (weekday 3pm-ish order, was here, 5 min from location in less than 30 minutes). happy with service, but perhaps pizza hut in general is dulling its shiny red hat..... sad face :("
66,2,2,So I ordered a cheese pizza and not only did I wait an hour but when the pizza got here it was COLD! My girlfriend had a slice and she kept complaining so I decided to call. I was told thin and crispy pizza drys out easy like are u serious I've ordered pizza a thousand times and there's no reason the cheese on my pizza should be cold they are 5mins away from Me and I waited an HOUR !!!!! Do not order from this location !!!!!! I should have listened to the previous reviews!!! Ugh
67,2,2,They took 2 hours- I am never ordering delivery from them ever again! Worst Pizza Hut ever
68,2,2,An hour delivery and Horrible pizza! Tasted salty and the meat was definitely not fresh. I ended up tossing away all the topping because of how gross it tasted like! Will not order from here ever again. Now I just hate myself for not ordering from dominos.
69,2,2,Ordered online and time of arrival was 2:03. At 2:15 I called and the girl said the driver left 15 minutes ago..he should be there any minute. Pizza came 30 minutes late.. Burned at the top and soggy oily at the bottom.  If I wanted to cause drama I wouldn't have paid..and slammed the door in his face..  Horrible service..horrible pizza.
70,2,3,"Had a medium supreme pizza. Tasted really salty and similar to frozen microwave pizza. Actually frozen pizza could've tasted better. Im giving an extra star only because of fast delivery. Actually came in20mins, but i live 2 blocks away and most huts do not deliver."
72,2,2,"Pizza Hut is my favorite pizza, so it hurts to have to give this location 1 star. I've been here twice and both times there was nobody at the register. I had to wait for an employee to come out the kitchen. On my first visit I did receive a freshly cooked meat lovers personal pan pizza after the wait. On my second visit right after the employee announced he would be out in a minute I noticed another unexpected visitor was also waiting for pizza.  A big roach was slowly walking around on the counter, very comfortable, like he was waiting for his order. I had to get out of there after seeing that. I couldn't stomach waiting for my pizza with a roach. Eat here at your own risk!"
71,1,2,"Universal pizza hut taste!  I miss upstate.  I miss my family.  I hate school.  I hate this sales guy at the union sq Best Buy. I really need a laptop by Tues but I just cant buy one from a jerk.I wanna run away and become a flight attendant and make my friend Joann become one too.  Dance class was just ok today.  The moves were fly but the  class concentration was off.  I got really hungry afterwards tho.  Probly cuz it was a special twerkshop that served wine but most likely from my yelp directory search for a nonexistant Staples Office Supply store within Penn Station. Thanks for playing me Yelp editors.  Get it togetha.  Please.  My only solace was spotting this Pizza Hut Express amidst all the train travelers.  Aight yeah why not?  Im going in.  Yes i grew up on pizza hut.  Yes i like Detroit style pizza.  Yes i know they're really from Kansas.  The counter guy was retarded.  Yes.  Yet the personal pan, hawaiian style was fresh, comforting and filled my void of hunger and of other lonely parts within my body*.*not referring to the putang"
73,1,2,"Pizza Hut, more like Pizza Butt. I'm tired of their circle pizzas. Why do they all have to be circles? Give me a square pizza any day of the week over a dumb circle pizza. Wasn't impressed with all the cheese and sauce either. No cheese or sauce next time please."
74,3,3,"Decently good pizza at a decent price.  The cheese tasted cheap, but you get what you pay for."
